Course,Average Grade,Hours
MA 556 - Applied Bayesian Statistics,C+,21+ hr/week
MA 559 - Statistics Graduate Seminar,A+,1-5 hr/week
MA 590 - ST: Numerical Methods for Nonlinear Equatic,A-,6-10 hr/week
MA 590 - ST: Probabilistic Methods in Combinatorics a,A+,6-10 hr/week
MA 1020 - Calculus | With Preliminary Topics,A-,1-5 hr/week
MA 1021- Calculus!,A-,1-5 hr/week
MA 1022 - Calculus II,A,1-5 hr/week
MA 1023 - Calculus II,A-,6-10 hr/week
MA 1024 - Calculus IV,A-,1-5 hr/week
MA 1033 - Theoretical Calculus III,A,1-5 hr/week
MA 1034 - Theoretical Calculus IV,A,1-5 hr/week
MA 1120 - Calculus I W/ Prelim Topics,B+,6-10 hr/week
MA 1801 - Denksport,A+,1-5 hr/week
MA 1971 - Bridge To Higher Mathematics,A,1-5 hr/week
MA 2051 - Ordinary Differential Equations,A,1-5 hr/week
MA 2071 - Matrices And Linear Algebra!,A+,1-5 hr/week
MA 2072 - Accelerated Matrices And Linear Algebra |,A,6-10 hr/week
MA 2073 - Matrices And Linear Algebra II,A+,6-10 hr/week
MA 2211 - Theory Of Interest I,A,1-5 hr/week
MA 2212 - Theory Of Interest II,A+,11-15 hr/week
MA 2251 - Vector And Tensor Calculus,A,1-5 hr/week
MA 2273 - Combinatorics,B+,11-15 hr/week
MA 2431 - Mathematical Modeling With Ordinary Diff,B+,1-5 hr/week
MA 2610 - Applied Statistics For The Life Sciences,A+,1-5 hr/week
MA 2611 - Applied Statistics |,A,1-5 hr/week
MA 2612 - Applied Statistics II,A+,6-10 hr/week
MA 2621 - Probability For Applications,A+,1-5 hr/week
MA 3212 - Actuarial Mathematics |,B,1-5 hr/week
MA 3231 - Linear Programming,A+,1-5 hr/week
MA 3471 - Advanced Ordinary Differential Equations,A+,6-10 hr/week
MA 3627 - Introduction To The Design And Analysis Of,A+,6-10 hr/week
MA 3631 - Mathematical Statistics,A-,6-10 hr/week
MA 3823 - Group Theory,A+,6-10 hr/week
MA 3825 - Rings And Fields,D,11-15 hr/week
MA 3832 - Principles Of Real Analysis II,A-,6-10 hr/week
MA 4213 - Loss Models |- Risk Theory,A,1-5 hr/week
MA 4235 - Mathematical Optimization,B+,6-10 hr/week
MA 4291 - Applied Complex Variables,A-,1-5 hr/week
MA 4451 - Boundary Value Problems,B+,1-5 hr/week
MA 4891 - ST: Topology,A+,6-10 hr/week
OIE 558 - Designing And Managing Lean Six Sigma Pro,A,1-5 hr/week
AE 5134- Plasma Dynamics,B,6-10 hr/week
MA 322X - Actuarial Estimation of Unpaid Claims,A+,1-5 hr/week
MA 464xX - Introduction to Time Series Analysis,A,1-5 hr/week
ME 501 - Robot Dynamics,A+,11-15 hr/week
ME 514- Fluid Dynamics:,A+,6-10 hr/week
ME 516 - Heat Transfer,A,6-10 hr/week
ME 521 - Legged Robotics,A+,16-20 hr/week
ME 530 - Soft Robotics,A+,6-10 hr/week
ME 543 - Axiomatic Design Of Manufacturing Process�,A,6-10 hr/week
ME 591- Graduate Seminar,A+,0 hr/week
ME 593 - Design and Optimization of Thermal Systems,B-,6-10 hr/week
ME 593 - Printed Electronics and Sensors,A,6-10 hr/week
ME 593 - ST: Design and Optimization of Thermal Syst,A+,6-10 hr/week
ME 593 - ST: Printed Electronics & Sensors,A+,1-5 hr/week
"ME 1800 - Manufacturing Science Prototyping And C""",A,1-5 hr/week
ME 2300 - Introduction To Engineering Design,A+,1-5 hr/week
ME 2312 - Introduction To Computational Solutions Fc,A,6-10 hr/week
ME 2820 - Materials Processing,B+,6-10 hr/week
ME 3310 - Kinematics Of Mechanisms,A,6-10 hr/week
ME 3311 - Dynamics of Mechanisms and Machines,A+,1-5 hr/week
ME 3320 - Design of Machine Elements,B+,16-20 hr/week
ME 3411 - Intermediate Fluid Mechanics,B+,6-10 hr/week
ME 3506 - Rehabilitation Engineering,A+,6-10 hr/week
ME 3901 - Engineering Experimentation,A+,1-5 hr/week
ME 3902 - Project-Based Engineering Experimentatior,A+,6-10 hr/week
ME 4320 - Advanced Engineering Design,A,6-10 hr/week
ME 4322 - Modeling And Analysis Of Mechatronic Syst,C,11-15 hr/week
ME 4323 - Fundamentals of Vehicle Drivetrain System,A+,6-10 hr/week
ME 4324 - Integrated Design of Mechanical System,B-,6-10 hr/week
ME 4422 - Design and Optimization of Thermal Systen,A-,11-15 hr/week
ME 4429 - Thermofiuid Application and Design,A,11-15 hr/week
ME 4506 - Mechanical Vibrations,A+,1-5 hr/week
ME 4512 - Introduction to the Finite Element Method,A+,1-5 hr/week
ME 4813 - Ceramics And Glasses For Engineering Appl,D,6-10 hr/week
ME 4832 - Corrosion And Corrosion Control,A-,1-5 hr/week
ME 4840 - Physical Metallurgy,B+,1-5 hr/week
ME 4875 - Introduction To Nanomaterials And Nanote:,A+,1-5 hr/week
ME 5108 - Introduction To Computational Fluid Dynam,A+,11-15 hr/week
ME 5200 - Mechanical Vibrations,A+,1-5 hr/week
ME 5202 - Advanced Dynamics,B+,11-15 hr/week
ME 5220 - Control Of Linear Dynamical Systems,A+,6-10 hr/week
ME 5225 - Fiber Optical Sensors,A-,6-10 hr/week
ME 5304 - Laser Metrology And Nondestructive Testin,B+,11-15 hr/week
ME 5311 - Structure And Properties Of Engineering M:,A-,11-15 hr/week
ME 5312 - Properties And Performance Of Engineerinc,A,1-5 hr/week
ME 5358 - Plastics,A+,1-5 hr/week
ME 5361 - Mechanical Behavior And Fracture Of Mater,A,6-10 hr/week
ME 5370 - Surface Metrology,B+,11-15 hr/week
ME 5371 - Fundamentals of Surface Metrology,D,6-10 hr/week
ME 5381 - Applied Elasticity,A,6-10 hr/week
ME 5385 - Metal Additive Manufacturing,A,6-10 hr/week
ME 5420 - Fundamentals Of Axiomatic Design Of Mant,D,6-10 hr/week
ME 5431 - Computer Integrated Manufacturing,A+,1-5 hr/week
ME 5441 - Design For Manufacturability,A+,6-10 hr/week
ME 5847 - Materials for Electrochemical Energy Syste,D,1-5 hr/week
